"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 00:47:52 TRT 2024","Tue Jun 04 00:47:55 TRT 2024","3287","","Tests for user change","","user.ChangeUserTest","changeAuthorizedUserWithExistingEmailTest","Check status code of change authorized user with existing email",""
"passed","Tue Jun 04 00:48:00 TRT 2024","Tue Jun 04 00:48:02 TRT 2024","1737","","Tests for user log in","","user.LoginUserTest","loginUserWithWrongEmailTest","Check status code of login user with wrong email",""
"passed","Tue Jun 04 00:48:06 TRT 2024","Tue Jun 04 00:48:07 TRT 2024","426","","Tests for user creation","","user.CreateUserTest","createUserWithoutNameTest","Check status code of create user without name",""
"passed","Tue Jun 04 00:47:34 TRT 2024","Tue Jun 04 00:47:42 TRT 2024","7873","","Tests for orders creation","","order.CreateOrderTest","createOrderTest","Check status code of create order",""
"passed","Tue Jun 04 00:48:06 TRT 2024","Tue Jun 04 00:48:06 TRT 2024","438","","Tests for user creation","","user.CreateUserTest","createUserWithoutEmailTest","Check status code of create user without email",""
"passed","Tue Jun 04 00:48:09 TRT 2024","Tue Jun 04 00:48:09 TRT 2024","382","","Tests for user creation","","user.CreateUserTest","createUserWithoutPasswordTest","Check status code of create user without password",""
"passed","Tue Jun 04 00:47:50 TRT 2024","Tue Jun 04 00:47:52 TRT 2024","2138","","Tests for user change","","user.ChangeUserTest","changeUnauthorizedUserTest","Check status code of change unauthorized user",""
"passed","Tue Jun 04 00:47:43 TRT 2024","Tue Jun 04 00:47:43 TRT 2024","495","","Tests for orders creation","","order.CreateOrderTest","createOrderWithoutIngredientsTest","Check status code of create order without ingredients",""
"passed","Tue Jun 04 00:48:09 TRT 2024","Tue Jun 04 00:48:10 TRT 2024","1213","","Tests for user creation","","user.CreateUserTest","createNewUserTest","Check status code of create user",""
"passed","Tue Jun 04 00:48:02 TRT 2024","Tue Jun 04 00:48:03 TRT 2024","1791","","Tests for user log in","","user.LoginUserTest","loginUserWithWrongPasswordTest","Check status code of login user with wrong password",""
"passed","Tue Jun 04 00:47:58 TRT 2024","Tue Jun 04 00:48:00 TRT 2024","1844","","Tests for user log in","","user.LoginUserTest","loginUserTest","Check status code of login user",""
"passed","Tue Jun 04 00:47:46 TRT 2024","Tue Jun 04 00:47:48 TRT 2024","2213","","Tests for orders retrieving","","order.GetOrderTest","getOrdersAuthorizedTest","Check status code of get orders when user authorized",""
"passed","Tue Jun 04 00:48:03 TRT 2024","Tue Jun 04 00:48:06 TRT 2024","2413","","Tests for user log in","","user.LoginUserTest","logoutUserTest","Check status code of logout user",""
"passed","Tue Jun 04 00:47:55 TRT 2024","Tue Jun 04 00:47:58 TRT 2024","2644","","Tests for user change","","user.ChangeUserTest","changeAuthorizedUserTest","Check status code of change authorized user",""
"passed","Tue Jun 04 00:48:07 TRT 2024","Tue Jun 04 00:48:08 TRT 2024","1758","","Tests for user creation","","user.CreateUserTest","createRegisteredUserTest","Check status code of create registered user",""
"passed","Tue Jun 04 00:47:48 TRT 2024","Tue Jun 04 00:47:50 TRT 2024","2034","","Tests for orders retrieving","","order.GetOrderTest","getOrdersUnauthorizedTest","Check status code of get orders when user not authorized",""
"passed","Tue Jun 04 00:47:42 TRT 2024","Tue Jun 04 00:47:43 TRT 2024","466","","Tests for orders creation","","order.CreateOrderTest","createOrderWithWrongIngredientsTest","Check status code of create order with wrong ingredients",""
"passed","Tue Jun 04 00:47:43 TRT 2024","Tue Jun 04 00:47:46 TRT 2024","2609","","Tests for orders retrieving","","order.GetOrderTest","getFiftyOrdersTest","Check if fifty orders in response",""
